Orignal Compute,Original Total,XGBOOST Compute,XGBOOST Total,XGBoost Normalize,XGBoost Normalize Total
1.437523842,9.201259375,1.482120991,6.739590406,40.87355542,44.87914801
1.251762152,8.699815273,1.464374542,6.651335955,40.87930012,45.34901619
1.249979496,8.653745413,1.491872549,6.636068106,40.83162618,44.66697431
1.254667759,8.780885696,1.486729145,6.630770922,40.92206717,44.7407186
1.255513191,8.755099058,1.462145567,6.502562523,40.9301765,44.67996073
1.253651381,8.653122902,1.443774223,6.476456404,40.89965248,44.73765922
1.249515295,8.811998844,1.446897268,6.457895756,40.98376346,44.83351445
1.252261162,8.706237793,1.444608212,6.511014938,40.88569069,44.74115896
1.249577999,8.677935839,1.498123884,6.543381691,40.87829542,44.71674323
1.250413895,8.7854743,1.436126709,6.511243105,41.01050091,45.35752344
1.248480797,8.780273199,1.430281401,6.45125103,40.87521076,44.68083215
1.251886368,8.865292311,1.437264681,6.43720603,40.87111354,44.69606829
1.253753185,8.731996536,1.452049255,6.462364197,40.89550662,44.68184853
1.246756554,8.791438818,1.435542107,6.443875313,41.09962177,45.38805199
1.41346693,9.071601391,1.47446084,6.59443903,40.91208053,44.74051142
2.874815464,13.54354382,1.44379878,6.486897469,40.84037566,44.67928171
2.902687073,13.51333284,1.476343393,6.592980146,40.9024179,44.62242556
2.888186932,13.3700707,1.44241786,6.478405952,40.93483424,44.75809765
2.864066839,13.11811447,1.434524298,6.493966818,40.9269619,44.71641612
2.871268988,13.1549015,1.431265116,6.447879553,41.03370118,44.89839697
2.810968637,12.94945621,1.431307077,6.435711622,40.9286716,44.65971971
2.814845085,12.9228456,1.43400836,6.413182735,41.00374222,44.84245062
2.865281582,13.17502093,1.427755594,6.441037655,40.95658851,44.70653605
2.869996548,13.41163373,1.442354679,6.423048019,40.86272979,44.63445973
2.864443779,13.32624078,1.427672148,6.384391546,40.90408778,44.68217468
2.873732328,13.15066838,1.420352697,6.395864725,40.96312213,44.69266701
2.052059889,10.73274183,1.462554455,6.527632236,41.00711417,44.76653695
1.194775105,7.890132189,1.425372601,6.416035414,40.87930155,44.66570854
1.192466259,8.073936939,1.435931206,6.378387928,40.90989137,44.64510465
1.201347351,8.010856867,1.432271481,6.396478176,40.96958685,44.71037865
1.191585064,8.112854481,1.439735889,6.426808596,40.95076871,44.72062922
1.212362051,8.01510334,1.430865288,6.430059671,40.93541026,44.71435142
1.200438261,7.918851137,1.435571194,6.494512558,40.89767575,44.63458276
1.187101126,7.958616972,1.43772459,6.42834425,40.99611044,44.79776978
1.201812267,7.7961936,1.434278727,6.410037518,40.9061563,44.63131309
1.188667059,7.886210442,1.433186054,6.44974947,40.95331144,44.75960112
1.187290192,8.016718864,1.428671598,6.417775393,40.94559312,44.72653461
1.187949657,7.857265949,1.46271944,6.536344051,40.9173727,44.72457743
1.217494011,8.35566783,1.454525232,6.596660614,40.91244078,44.70379376
1.230365276,8.487771749,1.643719673,7.540501595,40.94707155,44.77186441
1.185743332,7.85901618,1.441102982,6.482180119,41.04633403,44.90785027
1.185146093,7.950757742,1.434042692,6.482877016,40.93150711,44.71732044
1.187317848,7.915582895,1.432877064,6.45655489,40.8661902,44.76860976
1.185962677,7.812793255,1.430374384,6.430843592,40.89808321,44.71932268
1.195271969,7.880078316,1.442348242,6.438553333,40.82977366,44.64223313
1.187186003,7.953523159,1.437127829,6.470677614,40.91795683,44.70018482
1.189281702,7.98933959,1.438108444,6.495578289,41.02647924,44.80819964
1.197882891,7.830131531,1.434632063,6.464883804,40.91694903,44.70853353
1.187748194,7.907955885,1.440750837,6.460131645,40.92315984,44.76327801
1.188388586,7.931546211,1.537640572,6.798324585,40.91101623,44.63570166
1.188388348,7.945358038,1.501697779,6.749956608,40.84448481,44.70922089
1.219702959,8.24292922,1.507385015,6.73391819,40.91236591,44.60416961
1.288101673,9.116790533,1.50313282,6.771852255,40.97949076,45.25860882
1.285475969,9.008045912,1.513864756,6.709671974,40.95478773,44.8142457
1.277749777,9.25067091,1.468118668,6.556487799,40.86391807,44.70560122
1.27885747,9.29529047,1.528766632,6.825354338,40.92128134,44.65706563
1.277639389,9.253063679,1.524423838,6.787050962,40.84490943,44.68924284
1.216301441,8.367214203,1.55594492,7.001009226,40.90323853,44.62637997
1.191395521,8.045583487,1.519413233,6.825035095,40.93657184,44.73761177
1.18766737,8.023901463,1.483637571,6.651946783,40.91499543,44.63273263
1.188744783,8.01413703,1.480996609,6.632189989,40.97212124,44.81607985
1.186928988,7.908886909,1.439310551,6.447482824,40.84148335,44.59138465
1.19431138,7.969334364,1.445414782,6.485918999,40.92550707,44.72128344
1.186574936,8.02156353,1.438569069,6.446503401,40.90002036,44.66418004
